"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","2.77","","","4.51","15.4428229480349","17.1","18.8","20.8","23","25.4","28","30.9","52","58","62","69","74","78.9","83.78","88.661226932496","93.542453865048","97.17","","","","","","","","",
"Africa Eastern and Southern","AFE","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8","1.9","2.7","3","3.5","5.3","6.8","8.4","10","12.1","14.3","16.3","17.3","19.6","21.6","23.5","25","26.8","27.8","28.8","30.4",
"Afghanistan","AFG","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","0.00472256824217368","0.00456139517022146","0.0878912528559713","0.105809030021958","1.22414808372471","2.10712364546412","1.899999976","1.84","3.55","4","5","5.454500198","5.900000095","7","8.260000229","11","13.5","16.79999924","17.60000038","17.04850006","16.51429939","15.86629963","15.92840004","16.09499931","",
"Africa Western and Central","AFW","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3","3.4","4.3","5","5.8","7.3","8.7","10.3","12.6","15","18.6","20.9","23.8","25.7","28.5","31.5","34.7","37.5","38.5","40","42.4",
"Angola","AGO","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","0.000776","0.00567","0.0185","0.072","0.105045562462262","0.136013867429868","0.270376745595134","0.370682065225727","0.464814617985909","1.143399954","1.5","1.700000048","1.899999976","2.299999952","2.799999952","4.699999809","7.699999809","13","21.3623407584103","22","23.20000076","26","29","32.12939835","33.32089996","34.55649948","35.83800125","37.88589859","40.70479965","",
"Albania","ALB","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.0112","0.0322","0.0486","0.065","0.0814","0.114097346552109","0.325798377067964","0.39008127343332","0.971900415195857","2.42038779776014","6.04389086404814","9.609999657","15.03610039","23.86","41.2","45","47","49.40000153","51.79999924","54.29999924","56.90000153","59.59999847","62.40000153","65.40000153","68.5503911218006","72.23767711","79.32371752","82.61367544","83.13559161","85.86389923","",
"Andorra","AND","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","1.53","3.05","6.89","7.64","10.53883560922","","11.2604687170103","13.546412876439","26.8379543894637","37.6057662174867","48.9368469989479","70.87","70.04","78.53","81","81","82.69999695","84.40000153","86.09999847","87.90000153","89.69999695","91.5674670273926","93.5","90.71869659","93.20570374","93.89749908","94.05169678","94.21499634","94.39759827","",
"Arab World","ARB","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.103","0.375","3.3","6.91","14.9","23.6253008751553","26.2717542010006","28.3164853110439","29.4779534120864","30.1312961695367","40","52","61","63","64","68","78","84.9999915049492","88","90.4000107121939","90.5","90.6000073180483","94.8199225383446","98.4500017817194","99.1499979561243","100","100","100","100","100","",
"Argentina","ARG","Individuals using the Internet (% of population)","IT.NET.USER.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0.00299","0.0295","0.0437","0.0863","0.142","0.28","0.831","3.28","7.0386830862178","9.78080728532407","10.8821243775325","11.9136965509954","16.0366841054923","17.7205833696065","20.9272021035896","25.9466329403819","28.1126234799907","34","45","51","55.79999924","59.90000153","64.69999695","68.0430641088122","70.9689808206024","74.2949068657957","77.7","79.9469520347551","85.51438646","87.15070683","88.37535691","89.22897166","89.66715228","",
