Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees
2021,Bangladesh,Afghanistan,BGD,AFG,0
2022,Bangladesh,Afghanistan,BGD,AFG,5
2024,Bangladesh,Afghanistan,BGD,AFG,5
2020,Bangladesh,Bangladesh,BGD,BGD,0
2021,Bangladesh,Bangladesh,BGD,BGD,0
2022,Bangladesh,Bangladesh,BGD,BGD,0
2023,Bangladesh,Bangladesh,BGD,BGD,0
2024,Bangladesh,Bangladesh,BGD,BGD,0
2010,Bangladesh,Myanmar,BGD,MMR,229226
2011,Bangladesh,Myanmar,BGD,MMR,229644
2012,Bangladesh,Myanmar,BGD,MMR,230674
2013,Bangladesh,Myanmar,BGD,MMR,231125
2014,Bangladesh,Myanmar,BGD,MMR,232462
2015,Bangladesh,Myanmar,BGD,MMR,231948
2016,Bangladesh,Myanmar,BGD,MMR,276198
2017,Bangladesh,Myanmar,BGD,MMR,932204
2018,Bangladesh,Myanmar,BGD,MMR,906635
2019,Bangladesh,Myanmar,BGD,MMR,854764
2020,Bangladesh,Myanmar,BGD,MMR,866518
2021,Bangladesh,Myanmar,BGD,MMR,918898
2022,Bangladesh,Myanmar,BGD,MMR,952365
2023,Bangladesh,Myanmar,BGD,MMR,971964
2024,Bangladesh,Myanmar,BGD,MMR,1005561
2010,"Iran (Islamic Rep. of)",Afghanistan,IRN,AFG,1027577
2011,"Iran (Islamic Rep. of)",Afghanistan,IRN,AFG,840451
2012,"Iran (Islamic Rep. of)",Afghanistan,IRN,AFG,824087
2013,"Iran (Islamic Rep. of)",Afghanistan,IRN,AFG,814015
2014,"Iran (Islamic Rep. of)",Afghanistan,IRN,AFG,950000
2015,"Iran (Islamic Rep. of)",Afghanistan,IRN,AFG,951142
2016,"Iran (Islamic Rep. of)",Afghanistan,IRN,AFG,951142
2017,"Iran (Islamic Rep. of)",Afghanistan,IRN,AFG,951142
2018,"Iran (Islamic Rep. of)",Afghanistan,IRN,AFG,951142
2019,"Iran (Islamic Rep. of)",Afghanistan,IRN,AFG,951142
2020,"Iran (Islamic Rep. of)",Afghanistan,IRN,AFG,780000
2021,"Iran (Islamic Rep. of)",Afghanistan,IRN,AFG,778054
2022,"Iran (Islamic Rep. of)",Afghanistan,IRN,AFG,3413249
2023,"Iran (Islamic Rep. of)",Afghanistan,IRN,AFG,3752317
2024,"Iran (Islamic Rep. of)",Afghanistan,IRN,AFG,3477082
2016,"Iran (Islamic Rep. of)",Myanmar,IRN,MMR,0
2017,"Iran (Islamic Rep. of)",Myanmar,IRN,MMR,0
2018,"Iran (Islamic Rep. of)",Myanmar,IRN,MMR,0
2019,"Iran (Islamic Rep. of)",Myanmar,IRN,MMR,0
2020,"Iran (Islamic Rep. of)",Myanmar,IRN,MMR,0
2021,"Iran (Islamic Rep. of)",Myanmar,IRN,MMR,0
2022,"Iran (Islamic Rep. of)",Myanmar,IRN,MMR,0
2010,Pakistan,Afghanistan,PAK,AFG,1899842
2011,Pakistan,Afghanistan,PAK,AFG,1701945
2012,Pakistan,Afghanistan,PAK,AFG,1637740
2013,Pakistan,Afghanistan,PAK,AFG,1615876
2014,Pakistan,Afghanistan,PAK,AFG,1504912
2015,Pakistan,Afghanistan,PAK,AFG,1560592
2016,Pakistan,Afghanistan,PAK,AFG,1352160
2017,Pakistan,Afghanistan,PAK,AFG,1392610
2018,Pakistan,Afghanistan,PAK,AFG,1403521
2019,Pakistan,Afghanistan,PAK,AFG,1419084
2020,Pakistan,Afghanistan,PAK,AFG,1438432
2021,Pakistan,Afghanistan,PAK,AFG,1490562
2022,Pakistan,Afghanistan,PAK,AFG,1743278
2023,Pakistan,Afghanistan,PAK,AFG,1987717
2024,Pakistan,Afghanistan,PAK,AFG,1559964
2010,Pakistan,Myanmar,PAK,MMR,9
2011,Pakistan,Myanmar,PAK,MMR,9
2012,Pakistan,Myanmar,PAK,MMR,23
2013,Pakistan,Myanmar,PAK,MMR,14
2014,Pakistan,Myanmar,PAK,MMR,23
2015,Pakistan,Myanmar,PAK,MMR,24
2016,Pakistan,Myanmar,PAK,MMR,23
2017,Pakistan,Myanmar,PAK,MMR,21
2018,Pakistan,Myanmar,PAK,MMR,22
2019,Pakistan,Myanmar,PAK,MMR,23
2020,Pakistan,Myanmar,PAK,MMR,23
2021,Pakistan,Myanmar,PAK,MMR,23
2022,Pakistan,Myanmar,PAK,MMR,24
2023,Pakistan,Myanmar,PAK,MMR,27
2024,Pakistan,Myanmar,PAK,MMR,28
